76,果菜汁及果菜汁饮料制造,新鲜或冷藏水果和蔬菜为原料，经加工制得的果菜汁液制品生产活动，及在果汁或浓缩果汁、蔬菜汁中加入水、糖液、酸味剂等，经调制而成的可直接饮用的饮品（果汁含量不低于10％）的生产活动
77,含乳饮料和植物蛋白饮料制造,鲜乳或乳制品为原料（经发酵或未经发酵），加入水、糖液等调制而成的可直接饮用的含乳饮品的生产活动，及蛋白质含量较高的植物的果实、种子或核果类、坚果类的果仁等为原料，在其加工制得的浆液中加入水、糖液等调制而成的可直接饮用的植物蛋白饮品的生产活动
78,固体饮料制造,糖、食品添加剂、果汁或植物抽提物等为原料，加工制成粉末状、颗粒状或块状制品[其成品水分(质量分数)不高于5％]的生产活动
79,茶饮料及其他饮料制造,茶饮料、特殊用途饮料及其他未列明的饮料制造
80,精制茶加工,对毛茶或半成品原料茶进行筛分、轧切、风选、干燥、匀堆、拼配等精制加工茶叶的生产活动
81,烟草制品业,
82,烟叶复烤,在原烟（初烤）基础上进行第二次烟叶水分调整的活动
83,卷烟制造,各种卷烟生产，但不包括生产烟用滤嘴棒的纤维丝束原料的制造
84,其他烟草制品制造,
85,纺织业,
86,棉纺织及印染精加工,棉、棉型化纤（化纤短丝）纺织及印染精加工
87,棉纺纱加工,棉及棉型化学纤维为主要原料进行的纺纱加工
88,棉织造加工,棉纱、混纺纱、化学纤维纱为主要原料进行的机织物织造加工
89,棉印染精加工,对非自产的棉和化学纤维织物进行漂白、染色、印花、轧光、起绒、缩水等工序的加工
90,毛纺织及染整精加工,
91,毛条和毛纱线加工,毛及毛型化学纤维为原料进行梳条的加工，按毛纺工艺（精梳、粗梳、半精梳）进行纺纱的加工
92,毛织造加工,毛及毛型化学纤维纱线为原料进行的机织物织造加工
93,毛染整精加工,对非自产的毛织物进行漂白、染色、印花等工序的染整精加工
94,麻纺织及染整精加工,
95,麻纤维纺前加工和纺纱,苎麻、亚麻、大麻、黄麻、剑麻、罗布麻等为原料的纺前纤维加工和纺纱加工
96,麻织造加工,苎麻、亚麻、大麻、黄麻、剑麻、罗布麻纤维纱线等为主要原料的机织物织造加工
97,麻染整精加工,对非自产的麻织物进行漂白、染色、印花等工序的染整精加工
98,丝绢纺织及印染精加工,
99,缫丝加工,由蚕茧经过加工缫制成丝的活动
100,绢纺和丝织加工,丝为主要原料进行的丝织物织造加工
101,丝印染精加工,对非自产的丝织物进行漂白、染色、印花、轧光、起绒、缩水等工序的加工
102,化纤织造及印染精加工,经纬双向或经向化纤长丝(不包括化纤短纤）为主要原料生产的机织物
103,化纤织造加工,化纤长丝(含有色长丝)为主要原料生产的机织坯布、色织布
104,化纤织物染整精加工,对化纤长丝坯布进行漂白、染色、印花、轧光、起绒、缩水等染整工序的加工
105,针织或钩针编织物及其制品制造,
106,针织或钩针编织物织造,采用经编、纬编、横编及钩针编工艺进行的针织物织造加工
107,针织或钩针编织物印染精加工,对非自产的针织品进行漂白、染色、印花、轧光、起绒、缩水等工序的加工
108,针织或钩针编织品制造,除针织或钩针编织服装外的其他针织品或钩针编织品的加工
109,家用纺织制成品制造,
110,床上用品制造,棉、麻、竹、丝、毛、化学纤维等纤维及纺织品为主要原料，加工制造床上用品（包括含有填充物的被子、睡袋、枕头等类产品）的生产活动
111,毛巾类制品制造,棉、麻、竹、丝及化学纤维等为主要原料，加工制造毛巾类产品的生产活动
112,窗帘、布艺类产品制造,棉、麻、丝、毛及化学纤维等为主要原料，加工制造窗帘、各种装饰罩（套）、靠垫、坐垫、贮物袋等生活用布艺产品的生产活动
113,其他家用纺织制成品制造,棉、麻、丝、毛及化学纤维等为主要原料，加工制造毛毯、桌布、台布、餐巾、擦布、洗碗巾等餐厨生活制品的其他家用纺织制成品生产活动
114,产业用纺织制成品制造,也称产业用纺织制成品制造（包括帐篷等户外及庭院休闲用品制造）
115,非织造布制造,定向或随机排列的纤维，通过摩擦、抱合或粘合，或者这些方法的组合而相互结合制成的片状物、纤网或絮垫的生产活动；所用纤维可是天然纤维、化学纤维和无机纤维，也可是短纤维、长丝或直接形成的纤维状物
